,a1,o1,c1,g1,l1,b1,f1,t1,j1,u1,q1,a2,o2,c2,g2,l2,b2,f2,t2,j2,u2,q2,a3,o3,c3,g3,l3,b3,f3,t3,j3,u3,q3,record,frame,face_mesh_path,ref,Basis.txt,jaw_open.txt,left_eye_closed.txt,mouth_open.txt,right_eye_closed.txt,smile.txt,smile_left.txt,smile_right.txt,loss,sequence
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_002,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_002,sa1/face_002,1.3349321191982204,-0.7476821764284312,-0.0166432732157039,0.7501534222816337,0.036636983214865,0.4409595571964937,0.1963794232183058,-0.9947732908134422,0.0049139905994226,sa1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_003,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_003,sa1/face_003,1.3982913254852034,0.4761908756679284,-0.0610558599046621,-0.4533518962236414,0.0258936560970634,-0.5402674922957055,-0.3351012040218369,0.4880710999928714,0.0050691711034218,sa1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_004,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_004,sa1/face_004,1.3414852879633354,0.0700852930963387,-0.0256967112100505,-0.070124037024584,0.0464134203707183,-0.492420035354285,0.1288188957893617,0.0061514434995664,0.0046982790431227,sa1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_005,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_005,sa1/face_005,1.3789069355005077,-0.4159289342963542,-0.0531507939319075,0.4127478246889037,0.04053895643385,1.0159886948703345,-0.7528192497394208,-0.6221705727368322,0.0053009957792028,sa1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_006,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_006,sa1/face_006,0.993440740521012,-0.8231885502707882,0.1642945497555744,0.8255440176610368,0.1576202509679947,-0.175645251044326,0.3672325689887388,-0.5187677923357379,0.0053373919487741,sa1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_007,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_007,sa1/face_007,0.7895970510622641,0.0284938057030522,0.2896948708792103,-0.0173921458529409,0.286221602090546,0.3040313108914212,0.2517462987093618,-0.94663820428321,0.0050224004028054,sa1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_008,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_008,sa1/face_008,0.7945601466842733,-0.5628915462083343,0.2960806786655185,0.654378391832333,0.268738025710011,0.2649422987493649,0.5072090986312457,-1.227275293724461,0.0057891155417922,sa1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_009,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_009,sa1/face_009,0.5020525908804261,0.5581492414232513,0.2183481564890435,-0.2563414718006926,0.2033140162924269,0.6977285524947108,-0.0020888630653077,-0.9240539611417184,0.0069545105280189,sa1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_010,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_010,sa1/face_010,0.4998642824149655,0.3702431998008149,0.1968382486632228,0.0172109845669096,0.1282115562209593,-0.2192610959364729,0.2847771293251336,-0.2716193433711222,0.008922112429394,sa1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa1,face_011,C:/Users/Enzo.Magal/Documents/Enzo2021/fadg0/face_mesh/sa1/face_011,sa1/face_011,0.5040650609339714,-0.2205857184281255,0.1133163332435065,0.6591693779249114,0.114007295635715,-0.0482608536967632,-0.2235604017596171,0.11334458743675,0.0112599930269902,sa1
